TABLE_NAME	COLUMN_NAME	DATA_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT	EXTRA
arm_analysis_cache	id	int	NO	PRI	NULL	auto_increment
arm_analysis_cache	printer_brand	varchar	YES	MUL	NULL	
arm_analysis_cache	printer_model	varchar	YES		NULL	
arm_analysis_cache	analysis_data	json	YES		NULL	
arm_analysis_cache	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
audit_logs	id	int	NO	PRI	NULL	auto_increment
audit_logs	user_id	int	NO	MUL	NULL	
audit_logs	user_role	enum	NO	MUL	NULL	
audit_logs	action	varchar	NO		NULL	
audit_logs	action_type	enum	NO	MUL	NULL	
audit_logs	target_type	varchar	YES	MUL	NULL	
audit_logs	target_id	varchar	YES		NULL	
audit_logs	details	text	YES		NULL	
audit_logs	ip_address	varchar	YES		NULL	
audit_logs	user_agent	text	YES		NULL	
audit_logs	created_at	timestamp	YES	MUL	CURRENT_TIMESTAMP	DEFAULT_GENERATED
institution_printer_assignments	id	int	NO	PRI	NULL	auto_increment
institution_printer_assignments	institution_id	varchar	NO	MUL	NULL	
institution_printer_assignments	printer_id	int	NO	MUL	NULL	
institution_printer_assignments	assigned_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
institution_printer_assignments	status	enum	NO		assigned	
institution_printer_assignments	unassigned_at	timestamp	YES		NULL	
institutions	id	int	NO	PRI	NULL	auto_increment
institutions	institution_id	varchar	NO	UNI	NULL	
institutions	user_id	int	YES	MUL	NULL	
institutions	name	varchar	NO		NULL	
institutions	type	varchar	NO		NULL	
institutions	address	text	NO		NULL	
institutions	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
institutions	updated_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
institutions	status	enum	YES		active	
institutions	deactivated_at	timestamp	YES		NULL	
notifications	id	int	NO	PRI	NULL	auto_increment
notifications	type	varchar	NO	MUL	NULL	
notifications	title	varchar	NO		NULL	
notifications	message	text	NO		NULL	
notifications	user_id	int	YES		NULL	
notifications	sender_id	int	YES		NULL	
notifications	reference_type	varchar	YES		NULL	
notifications	reference_id	varchar	YES		NULL	
notifications	related_user_id	int	YES	MUL	NULL	
notifications	related_data	json	YES		NULL	
notifications	is_read	tinyint	YES	MUL	0	
notifications	created_at	timestamp	YES	MUL	CURRENT_TIMESTAMP	DEFAULT_GENERATED
notifications	updated_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
notifications	priority	enum	YES		medium	
parts_requests	id	int	NO	PRI	NULL	auto_increment
parts_requests	part_id	int	NO	MUL	NULL	
parts_requests	technician_id	int	NO	MUL	NULL	
parts_requests	quantity_requested	int	NO		1	
parts_requests	reason	text	NO		NULL	
parts_requests	priority	enum	YES	MUL	medium	
parts_requests	status	enum	YES	MUL	pending	
parts_requests	admin_response	text	YES		NULL	
parts_requests	approved_by	int	YES	MUL	NULL	
parts_requests	approved_at	timestamp	YES		NULL	
parts_requests	created_at	timestamp	YES	MUL	CURRENT_TIMESTAMP	DEFAULT_GENERATED
parts_requests	updated_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
password_reset_tokens	id	int	NO	PRI	NULL	auto_increment
password_reset_tokens	user_id	int	NO	MUL	NULL	
password_reset_tokens	token	varchar	NO	UNI	NULL	
password_reset_tokens	expires_at	datetime	NO	MUL	NULL	
password_reset_tokens	used	tinyint	YES		0	
password_reset_tokens	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
printer_parts	id	int	NO	PRI	NULL	auto_increment
printer_parts	name	varchar	NO		NULL	
printer_parts	brand	varchar	YES		NULL	
printer_parts	category	enum	NO	MUL	other	
printer_parts	item_type	enum	YES		printer_part	
printer_parts	quantity	int	NO		0	
printer_parts	minimum_stock	int	YES		5	
printer_parts	status	enum	NO		in_stock	
printer_parts	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
printer_parts	updated_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
printer_parts	is_universal	tinyint	YES	MUL	0	
printer_parts	unit	varchar	YES		pieces	
printer_parts_transactions	id	int	NO	PRI	NULL	auto_increment
printer_parts_transactions	part_id	int	NO	MUL	NULL	
printer_parts_transactions	transaction_type	enum	NO		NULL	
printer_parts_transactions	quantity	int	NO		NULL	
printer_parts_transactions	reference_number	varchar	YES		NULL	
printer_parts_transactions	notes	text	YES		NULL	
printer_parts_transactions	created_by	int	YES	MUL	NULL	
printer_parts_transactions	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
printers	id	int	NO	PRI	NULL	auto_increment
printers	category	enum	NO		printer	
printers	name	varchar	NO		NULL	
printers	brand	varchar	YES		NULL	
printers	model	varchar	YES		NULL	
printers	serial_number	varchar	YES	UNI	NULL	
printers	quantity	int	NO		1	
printers	location	varchar	YES		NULL	
printers	status	enum	NO		available	
printers	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
printers	updated_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
service_approvals	id	int	NO	PRI	NULL	auto_increment
service_approvals	service_request_id	int	NO	MUL	NULL	
service_approvals	status	enum	NO	MUL	NULL	
service_approvals	institution_admin_id	int	YES	MUL	NULL	
service_approvals	technician_notes	text	YES		NULL	
service_approvals	institution_admin_notes	text	YES		NULL	
service_approvals	submitted_at	timestamp	YES	MUL	CURRENT_TIMESTAMP	DEFAULT_GENERATED
service_approvals	reviewed_at	timestamp	YES		NULL	
service_parts_used	id	int	NO	PRI	NULL	auto_increment
service_parts_used	service_request_id	int	NO	MUL	NULL	
service_parts_used	part_id	int	NO	MUL	NULL	
service_parts_used	quantity_used	int	NO		NULL	
service_parts_used	notes	varchar	YES		NULL	
service_parts_used	used_by	int	NO	MUL	NULL	
service_parts_used	used_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
service_request_history	id	int	NO	PRI	NULL	auto_increment
service_request_history	request_id	int	NO	MUL	NULL	
service_request_history	previous_status	varchar	NO		NULL	
service_request_history	new_status	varchar	NO		NULL	
service_request_history	changed_by	int	YES	MUL	NULL	
service_request_history	notes	text	YES		NULL	
